dataset_name,mean_squared_error,root_mean_squared_error,mean_absolute_error,r2_score,smape,pcc,Total Time (sec)
eye,0.033,0.182,0.157,-0.01,152.21,0.091,17.906
head,0.027,0.163,0.131,0.188,152.216,0.457,19.02
eda,0.039,0.198,0.154,-0.058,153.898,0.468,23.903
hr,0.037,0.192,0.163,-0.001,142.653,-0.469,21.514
eye_head,0.024,0.155,0.13,-3.405,81.028,-0.106,231.753
eye_hr,0.027,0.165,0.147,-3.992,90.564,-0.104,203.59
eye_eda,0.021,0.146,0.126,-2.945,74.624,-0.178,108.028
eda_hr,0.019,0.139,0.117,-2.54,66.633,0.095,120.016
eye_head_eda_hr,0.026,0.16,0.139,-3.741,92.421,-0.031,495.468
