dataset_name,mean_squared_error,root_mean_squared_error,mean_absolute_error,r2_score,smape,pcc,Total Time (sec)
eye,0.019,0.136,0.093,0.435,149.851,0.706,22.569
head,0.024,0.155,0.122,0.272,152.392,0.524,38.034
eda,0.038,0.194,0.155,-0.024,149.692,0.463,35.071
hr,0.037,0.192,0.165,-0.001,141.956,-0.475,38.164
eye_head,0.027,0.165,0.143,-4.05,87.86,-0.028,88.942
eye_hr,0.024,0.156,0.132,-3.466,87.71,-0.028,136.053
eye_eda,0.04,0.199,0.175,-6.296,144.174,-0.13,97.505
eda_hr,0.024,0.154,0.133,-3.386,81.19,-0.207,129.038
eye_head_eda_hr,0.024,0.156,0.134,-3.494,90.239,-0.04,445.066
