dataset_name,mean_squared_error,root_mean_squared_error,mean_absolute_error,r2_score,smape,pcc,Total Time (sec)
eye,0.022,0.15,0.094,0.318,156.525,0.622,33.097
head,0.031,0.176,0.138,0.064,151.506,0.446,24.983
eda,0.037,0.192,0.154,-0.001,147.969,0.458,43.251
hr,0.037,0.192,0.161,-0.0,144.318,0.072,27.295
eye_head,0.049,0.222,0.197,-8.104,142.093,-0.096,328.351
eye_hr,0.032,0.179,0.16,-4.88,114.122,-0.098,276.892
eye_eda,0.053,0.229,0.217,-8.71,200.0,,320.919
eda_hr,0.038,0.196,0.181,-6.086,140.439,0.121,343.074
eye_head_eda_hr,0.04,0.2,0.18,-6.379,145.073,0.027,707.746
